State, % H.S. Graduate, % Bachelor's Degree, % Advanced Degree,Income 2011,"Number of reported forcible rapes per 100,000 people"
Alabama,82.10,22.00,7.70,41415,26.9
Alaska,91.40,26.60,9.00,67825,79.7
Arizona,84.20,25.60,9.30,46709,34.7
Arkansas,82.40,18.90,6.10,38758,42.3
California,80.60,29.90,10.70,57287,20.6
Colorado,89.30,35.90,12.70,55387,40.7
Connecticut,88.60,35.60,15.50,65753,25.6
Delaware,87.40,28.70,11.40,58814,26.5
District of Columbia,87.10,48.50,28.00,63124,37.3
Florida,85.30,25.30,9.00,44299,27.2
Georgia,83.90,27.50,9.90,46007,21.4
Hawaii,90.40,29.60,9.90,61821,20.5
Idaho,88.40,23.90,7.50,43341,30
Illinois,86.40,30.60,11.70,53234,27.7
Indiana,86.60,22.50,8.10,46438,25.5
Iowa,90.50,25.10,7.40,49427,28.3
Kansas,89.70,29.50,10.20,48964,36.5
Kentucky,81.70,21.00,8.50,41141,29
Louisiana,82.20,21.40,6.90,41734,25.2
Maine,90.20,26.90,9.60,46033,28
Maryland,88.20,35.70,16.00,70004,21
Massachusetts,89.00,38.20,16.40,62859,24.7
Michigan,87.90,24.60,9.40,45981,46.4
Minnesota,91.50,31.50,10.30,56954,30.5
Mississippi,80.40,19.60,7.10,36919,27.5
Missouri,86.80,25.20,9.50,45247,25.1
Montana,90.80,27.40,8.30,44222,37.7
Nebraska,89.80,27.40,8.80,50296,38.3
Nevada,83.90,21.80,7.60,48927,33.7
New Hampshire,91.30,32.00,11.20,62647,34
New Jersey,91.80,23.80,7.90,67458,11.7
New Mexico,82.80,25.30,10.40,41963,45.9
New York,84.70,32.40,14.00,55246,14.6
North Carolina,84.30,26.50,8.80,43916,20.3
North Dakota,90.10,25.80,6.70,51704,38.9
Ohio,87.60,24.10,8.80,45749,31.7
Oklahoma,85.60,22.70,7.40,43225,41.6
Oregon,89.10,29.20,10.40,46816,29.2
Pennsylvania,87.90,26.40,10.20,50228,26.1
Rhode Island,84.70,30.50,11.70,53636,27.4
South Carolina,83.60,24.30,8.40,42367,35.5
South Dakota,89.90,25.10,7.30,48321,70.2
Tennessee,83.10,23.00,7.90,41693,31.5
Texas,79.90,25.50,8.50,49392,29.6
Utah,90.40,28.50,9.10,55869,33
Vermont,91.00,33.10,13.30,52776,19.3
Virginia,86.60,34.00,14.10,61882,17.7
Washington,89.70,31.00,11.10,56835,31.8
West Virginia,82.80,17.30,6.70,38482,22.7
Wisconsin,89.80,25.70,8.40,50395,21.3
Wyoming,87.40,34.50,12.90,56322,26.7
