item,EDUCATION,Not in Universe,Less Than 1st Grade,"1st, 2nd, 3rd or 4th grade",5th Or 6th Grade,7th Or 8th Grade,9th Grade,10th Grade,11th Grade,"12th grade, no diploma",High School Graduate - (diploma or GED or equivalent),"Some college, but no degree","Diploma or certificate from a vocational, technical, trade or business school beyond high",Associate (2-yr) college degree (include academic/occupational degree),"Bachelor's degree (for example: BA, AB, BS)","Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)","Professional School degree (for example: MD(doctor),DDS(dentist),JD(lawyer)","Doctorate degree (for example: Ph.D., Ed.D)"
bad enough to move?,82260,16337,205,489,932,1832,1959,2189,2233,866,17909,9284,6710,5013,10519,4206,882,695
Not in Universe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,3541,923,9,43,52,99,121,114,128,62,825,349,354,153,212,74,14,9
No,78719,15414,196,446,880,1733,1838,2075,2105,804,17084,8935,6356,4860,10307,4132,868,686
afraid to walk?,82260,16337,205,489,932,1832,1959,2189,2233,866,17909,9284,6710,5013,10519,4206,882,695
Not in Universe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,16512,3223,56,136,225,418,442,480,463,223,3761,1827,1558,960,1752,738,136,114
No,65748,13114,149,353,707,1414,1517,1709,1770,643,14148,7457,5152,4053,8767,3468,746,581
neighborhood safe?,82260,16337,205,489,932,1832,1959,2189,2233,866,17909,9284,6710,5013,10519,4206,882,695
Not in Universe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Very safe,48768,9313,99,206,447,1003,1056,1215,1182,427,10223,5557,3748,3078,7080,2971,653,510
Somewhat safe,27776,5707,87,213,375,669,721,782,854,332,6309,3151,2378,1654,3072,1097,207,168
Somewhat unsafe,4687,1058,15,55,91,126,141,154,155,82,1128,486,472,245,318,124,20,17
Very unsafe,1029,259,4,15,19,34,41,38,42,25,249,90,112,36,49,14,2,0
home safe?,82260,16337,205,489,932,1832,1959,2189,2233,866,17909,9284,6710,5013,10519,4206,882,695
Not in Universe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Very safe,57372,11143,127,256,557,1201,1282,1425,1428,526,12247,6562,4469,3626,7951,3294,701,577
Somewhat safe,22600,4678,71,207,321,573,590,673,709,290,5123,2507,2003,1293,2424,855,170,113
Somewhat unsafe,1911,423,6,22,44,49,66,79,84,43,447,185,192,85,121,52,9,4
Very unsafe,377,93,1,4,10,9,21,12,12,7,92,30,46,9,23,5,2,1
travel in groups?,82260,16337,205,489,932,1832,1959,2189,2233,866,17909,9284,6710,5013,10519,4206,882,695
Not in Universe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Has taken someone with.,7382,1594,31,78,136,239,230,248,241,109,1720,752,669,381,651,230,43,30
Did not take someone with.,74878,14743,174,411,796,1593,1729,1941,1992,757,16189,8532,6041,4632,9868,3976,839,665
carry protection?,82260,16337,205,489,932,1832,1959,2189,2233,866,17909,9284,6710,5013,10519,4206,882,695
Not in Universe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carried anything to protect self.,5096,967,10,40,42,91,120,146,149,63,1179,627,588,321,521,162,34,36
Did not carry anything.,77164,15370,195,449,890,1741,1839,2043,2084,803,16730,8657,6122,4692,9998,4044,848,659
SEX,82260,16337,205,489,932,1832,1959,2189,2233,866,17909,9284,6710,5013,10519,4206,882,695
Male,39422,8339,87,243,423,918,986,1057,1075,407,8550,4249,3224,2094,4921,1881,516,452
Female,42838,7998,118,246,509,914,973,1132,1158,459,9359,5035,3486,2919,5598,2325,366,243
RACE,82260,16337,205,489,932,1832,1959,2189,2233,866,17909,9284,6710,5013,10519,4206,882,695
White alone,65041,12314,137,400,734,1445,1448,1628,1631,625,14296,7482,5200,4121,8756,3516,739,569
Black alone,10372,2355,23,41,89,252,318,372,456,185,2408,1162,1030,560,733,289,55,44
Asian alone,3434,661,36,27,59,58,72,65,42,27,513,291,160,184,772,328,67,72
Residual,3413,1007,9,21,50,77,121,124,104,29,692,349,320,148,258,73,21,10
Hispanic or Latino?,82260,16337,205,489,932,1832,1959,2189,2233,866,17909,9284,6710,5013,10519,4206,882,695
Yes,11273,3425,109,320,605,455,489,401,375,179,2321,904,630,373,503,135,30,19
No,70987,12912,96,169,327,1377,1470,1788,1858,687,15588,8380,6080,4640,10016,4071,852,676
Born in the US?,82260,16337,205,489,932,1832,1959,2189,2233,866,17909,9284,6710,5013,10519,4206,882,695
Yes,72387,15788,65,135,272,1423,1619,1971,2040,706,15532,8462,5909,4472,9080,3605,749,559
No,9873,549,140,354,660,409,340,218,193,160,2377,822,801,541,1439,601,133,136
Total income this month?,82260,16337,205,489,932,1832,1959,2189,2233,866,17909,9284,6710,5013,10519,4206,882,695
Average TPEARN,1537.5,0,528.8,665.8,723.5,470.3,336.8,324.8,432.5,841.1,1213,1649.1,1620,2195.3,3292.2,3990.5,7884.9,5990.2
Std Err TPEARN,11.05,0,80.94,55.25,39.14,29.25,20.99,20.23,21.6,58.56,15.74,26.64,29.83,40.48,42.61,77.6,331.61,271.36

